Year,Country,CO2,Temperature
"1950","Afghanistan","98928","13.0435"
"1950","Africa","1738164960","23.8808"
"1950","Albania","7463568","13.8128"
"1950","Algeria","11087264","22.7818"
"1950","Andorra","0","11.812"
"1950","Angola","186864","21.5718"
"1950","Anguilla","0","26.2664"
"1950","Argentina","556066960","14.7951"
"1950","Armenia","0","8.213"
"1950","Aruba","0","27.4885"
"1950","Australia","1340108000","21.3229"
"1950","Austria","1665606768","7.03575"
"1950","Azerbaijan","0","10.8913"
"1950","Bahamas","54960","25.0002"
"1950","Bahrain","47478112","25.438"
"1950","Bangladesh","0","25.0203"
"1950","Barbados","117248","26.1813"
"1950","Belarus","0","6.23192"
"1950","Belgium","4702359280","9.82917"
"1950","Belize","18320","24.783"
"1950","Benin","0","27.1618"
"1950","Bhutan","0","11.9664"
"1950","Bolivia","2627088","20.8452"
"1950","Botswana","0","22.1242"
"1950","Brazil","255168288","24.639"
"1950","BritishVirginIslands","0","25.9973"
"1950","Bulgaria","119362128","11.4648"
"1950","BurkinaFaso","0","27.7718"
"1950","Burundi","0","20.043"
"1950","Cambodia","0","26.7892"
"1950","Cameroon","139232","24.4327"
"1950","Canada","4506346272","-5.95292"
"1950","CapeVerde","102592","24.3413"
"1950","CaymanIslands","0","26.4732"
"1950","CentralAfricanRepublic","0","25.2519"
"1950","Chad","0","26.5931"
"1950","Chile","203278720","9.292"
"1950","China","1871475936","6.64117"
"1950","ChristmasIsland","0","25.8248"
"1950","Colombia","75427104","24.4258"
"1950","Comoros","0","25.6257"
"1950","Congo","0","24.6974"
"1950","CostaRica","285792","25.3686"
"1950","Croatia","0","12.4301"
"1950","Cuba","6774736","25.144"
"1950","Cyprus","267472","18.7963"
"1950","CzechRepublic","0","8.29767"
"1950","Denmark","695603072","-17.5932"
"1950","Djibouti","10992","28.3559"
"1950","Dominica","0","25.798"
"1950","DominicanRepublic","403040","25.2383"
"1950","Ecuador","22115904","21.3344"
"1950","Egypt","74730944","22.6811"
"1950","ElSalvador","267472","24.643"
"1950","EquatorialGuinea","10992","25.0757"
"1950","Eritrea","69616","26.6658"
"1950","Estonia","304112","5.236"
"1950","Ethiopia","128240","22.658"
"1950","Fiji","120912","25.2941"
"1950","Finland","123674656","2.20625"
"1950","France","11884506432","13.2332"
"1950","FrenchGuiana","7328","25.7808"
"1950","FrenchPolynesia","0","25.9103"
"1950","Gabon","0","24.4343"
"1950","Gambia","14656","27.4183"
"1950","Georgia","0","7.9575"
"1950","Germany","29189721328","8.65342"
"1950","Ghana","637536","26.692"
"1950","Greece","62262352","15.639"
"1950","Greenland","98928","-18.1268"
"1950","Grenada","7328","26.4608"
"1950","Guadeloupe","62288","25.9482"
"1950","Guatemala","740128","22.9017"
"1950","Guinea","0","25.3256"
"1950","Guyana","260144","26.0238"
"1950","Haiti","113584","25.9605"
"1950","Honduras","300448","24.3712"
"1950","HongKong","1557200","23.0494"
"1950","Hungary","773485056","10.6802"
"1950","Iceland","912336","1.8535"
"1950","India","2194578448","23.6593"
"1950","Indonesia","582817824","25.6543"
"1950","Iran","871365152","16.9088"
"1950","Iraq","130746176","21.3117"
"1950","Ireland","234492336","9.46183"
"1950","Israel","3275616","19.7097"
"1950","Italy","1691804368","13.7126"
"1950","Jamaica","271136","25.723"
"1950","Japan","4117357712","12.5895"
"1950","Jordan","172208","19.4012"
"1950","Kazakhstan","0","4.26742"
"1950","Kenya","908672","23.9454"
"1950","Kiribati","0","26.3162"
"1950","Kuwait","10988336","24.6178"
"1950","Kyrgyzstan","0","2.625"
"1950","Laos","0","23.7715"
"1950","Latvia","494640","5.77025"
