Year,Country,CO2,Temperature
"1950","Afghanistan","98928","-1.47644"
"1950","Africa","1738164960","-0.552307"
"1950","Albania","7463568","0.752951"
"1950","Algeria","11087264","-0.727132"
"1950","Andorra","0","0.126942"
"1950","Angola","186864","-0.579352"
"1950","Anguilla","0","-0.796784"
"1950","Argentina","556066960","-0.213075"
"1950","Armenia","0","-1.01705"
"1950","Aruba","0","-0.871264"
"1950","Australia","1340108000","-0.628352"
"1950","Austria","1665606768","0.291441"
"1950","Azerbaijan","0","-0.992693"
"1950","Bahamas","54960","-0.507221"
"1950","Bahrain","47478112","-0.977313"
"1950","Bangladesh","0","-0.262868"
"1950","Barbados","117248","-0.74729"
"1950","Belarus","0","-0.215292"
"1950","Belgium","4702359280","-0.156385"
"1950","Belize","18320","-0.701948"
"1950","Benin","0","-0.326691"
"1950","Bhutan","0","-0.263762"
"1950","Bolivia","2627088","-0.38457"
"1950","Botswana","0","-0.135293"
"1950","Brazil","255168288","-0.53599"
"1950","BritishVirginIslands","0","-0.793012"
"1950","Bulgaria","119362128","0.486735"
"1950","BurkinaFaso","0","-0.669337"
"1950","Burundi","0","-0.330663"
"1950","Cambodia","0","-0.295367"
"1950","Cameroon","139232","-0.208132"
"1950","Canada","4506346272","-1.4978"
"1950","CapeVerde","102592","-0.209001"
"1950","CaymanIslands","0","-0.651678"
"1950","CentralAfricanRepublic","0","-0.306844"
"1950","Chad","0","-0.828147"
"1950","Chile","203278720","-0.468753"
"1950","China","1871475936","-0.46318"
"1950","ChristmasIsland","0","-0.390586"
"1950","Colombia","75427104","-0.734445"
"1950","Comoros","0","-0.418067"
"1950","Congo","0","-0.0535241"
"1950","CostaRica","285792","-0.657695"
"1950","Croatia","0","0.587853"
"1950","Cuba","6774736","-0.655728"
"1950","Cyprus","267472","-0.479318"
"1950","CzechRepublic","0","0.13348"
"1950","Denmark","695603072","-0.0501654"
"1950","Djibouti","10992","-0.737758"
"1950","Dominica","0","-0.777473"
"1950","DominicanRepublic","403040","-0.763526"
"1950","Ecuador","22115904","-0.85818"
"1950","Egypt","74730944","-0.453552"
"1950","ElSalvador","267472","-0.712404"
"1950","EquatorialGuinea","10992","-0.145694"
"1950","Eritrea","69616","-0.411432"
"1950","Estonia","304112","-0.177487"
"1950","Ethiopia","128240","-0.637737"
"1950","Fiji","120912","-0.0816842"
"1950","Finland","123674656","0.369311"
"1950","France","11884506432","-0.0442064"
"1950","FrenchGuiana","7328","-0.409342"
"1950","FrenchPolynesia","0","-0.53089"
"1950","Gabon","0","-0.116742"
"1950","Gambia","14656","-0.492338"
"1950","Georgia","0","-0.827753"
"1950","Germany","29189721328","-0.0323086"
"1950","Ghana","637536","-0.353066"
"1950","Greece","62262352","0.435866"
"1950","Greenland","98928","-0.0512227"
"1950","Grenada","7328","-0.754574"
"1950","Guadeloupe","62288","-0.841572"
"1950","Guatemala","740128","-0.656116"
"1950","Guinea","0","-0.526958"
"1950","Guyana","260144","-0.379921"
"1950","Haiti","113584","-0.773102"
"1950","Honduras","300448","-0.779417"
"1950","HongKong","1557200","-0.00482487"
"1950","Hungary","773485056","0.437497"
"1950","Iceland","912336","0.00774349"
"1950","India","2194578448","-0.682678"
"1950","Indonesia","582817824","-0.436854"
"1950","Iran","871365152","-1.24564"
"1950","Iraq","130746176","-1.05704"
"1950","Ireland","234492336","-0.354341"
"1950","Israel","3275616","-0.457678"
"1950","Italy","1691804368","0.477876"
"1950","Jamaica","271136","-0.795164"
"1950","Japan","4117357712","0.136405"
"1950","Jordan","172208","-0.508115"
"1950","Kazakhstan","0","-1.69608"
"1950","Kenya","908672","-0.442474"
"1950","Kiribati","0","-0.734981"
"1950","Kuwait","10988336","-1.00088"
"1950","Kyrgyzstan","0","-1.2201"
"1950","Laos","0","-0.23621"
"1950","Latvia","494640","-0.147705"
"1950","Lebanon","2784640","-0.48302"
"1950","Lesotho","0","-0.0941738"
"1950","Liberia","47632","-0.461237"
"1950","Libya","142896","-0.886753"
"1950","Liechtenstein","0","0.252011"
"1950","Lithuania","0","-0.0353073"
"1950","Luxembourg","7635776","-0.117163"
"1950","Macedonia","0","0.719059"
"1950","Madagascar","337088","-0.588651"
"1950","Malawi","0","-0.709809"
"1950","Malaysia","65717504","-0.357266"
"1950","Mali","0","-0.92021"
"1950","Malta","245488","0.284337"
"1950","Martinique","54960","-0.777473"
"1950","Mauritania","0","-0.704542"
"1950","Mauritius","201520","-0.500896"
"1950","Mexico","1245708704","0.32672"
"1950","Moldova","0","0.10544"
"1950","Mongolia","285792","-0.719902"
"1950","Montenegro","0","0.872154"
"1950","Montserrat","0","-0.85741"
"1950","Morocco","10834448","-0.149876"
"1950","Mozambique","1967568","-0.502449"
"1950","Namibia","0","-0.421455"
"1950","Nepal","25648","-0.598496"
"1950","Netherlands","1875282832","-0.157552"
"1950","NewCaledonia","219840","0.180747"
"1950","NewZealand","254472128","-0.158034"
"1950","Nicaragua","234496","-0.719523"
"1950","Niger","0","-1.04642"
"1950","Nigeria","31975728","-0.370824"
"1950","Niue","0","-0.148512"
"1950","NorthKorea","4176960","-0.0827487"
"1950","Norway","418088048","0.359045"
"1950","Oman","0","-0.976176"
"1950","Pakistan","0","-1.34068"
"1950","Palau","0","-0.498514"
"1950","Panama","564256","-0.731372"
"1950","PapuaNewGuinea","54960","-0.129712"
"1950","Paraguay","62288","-0.219126"
"1950","Peru","193994144","-0.653753"
"1950","Philippines","6815040","-0.344529"
"1950","Poland","5566466048","0.110008"
"1950","Portugal","210416192","-0.0530378"
"1950","Qatar","611888","-0.980531"
"1950","Reunion","25648","-0.574541"
"1950","Romania","717495472","0.455013"
"1950","Russia","0","-0.734088"
"1950","Rwanda","0","-0.283952"
"1950","SaintLucia","3664","-0.788363"
"1950","Samoa","3664","-0.376866"
"1950","SaudiArabia","126169840","-0.635393"
"1950","Senegal","0","-0.52788"
"1950","Serbia","0","0.74092"
"1950","Seychelles","0","-0.56905"
"1950","SierraLeone","157552","-0.487766"
"1950","Singapore","0","-0.418408"
"1950","Slovakia","0","0.320736"
"1950","Slovenia","0","0.464835"
"1950","SolomonIslands","0","-0.268158"
"1950","Somalia","47632","-0.602577"
"1950","SouthAfrica","1493014048","-0.18474"
"1950","SouthKorea","7419600","-0.0362839"
"1950","Spain","1166606608","0.171932"
"1950","SriLanka","1626816","-0.412316"
"1950","Sudan","549600","-0.583146"
"1950","Suriname","212512","-0.362043"
"1950","Swaziland","3664","-0.187302"
"1950","Sweden","933535904","0.150647"
"1950","Switzerland","473253232","0.211866"
"1950","Syria","956304","-0.731383"
"1950","Taiwan","157889088","-0.375725"
"1950","Tajikistan","0","-1.39691"
"1950","Tanzania","0","-0.53125"
"1950","Thailand","1535216","-0.363115"
"1950","Togo","25648","-0.252859"
"1950","Tonga","7328","-0.102321"
"1950","Tunisia","2656400","-0.361092"
"1950","Turkey","183855856","-0.681661"
"1950","Turkmenistan","0","-1.81185"
"1950","Uganda","106256","-0.358291"
"1950","Ukraine","0","-0.277283"
"1950","UnitedArabEmirates","0","-1.02022"
"1950","UnitedKingdom","39149444288","-0.300986"
"1950","UnitedStates","91806763184","-0.478276"
"1950","Uruguay","4092688","-0.19493"
"1950","Uzbekistan","0","-1.94593"
"1950","Venezuela","324022176","-0.694645"
"1950","Vietnam","134014464","-0.142456"
"1950","Yemen","58624","-0.749044"
"1950","Zambia","0","-0.741395"
"1950","Zimbabwe","93593216","-0.187592"
"1950","Global","1139263362.6","9.85349"
"1951","Afghanistan","190528","-0.552193"
"1951","Africa","1839368304","-0.304807"
