country,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,2253063.00,2743861.00,3432455.00,4139191.00,4977742.00,5984658.00,7075817.00,8357682.00,9581072.00,10522304.00,12192701.00,14086633.00,15617799.00,17255042.00,19170720.00,21295245.00,23279471.00,25666216.00,27821636.00,30056540.00,31813562.00,33792934.00,35888474.00,38408565.00,41230980.00,44732874.00,47866946.00,50981106.00,53838190.00,56603078.00,59205485.00,61631971.00,63013493.00,64347330.00,65629819.00,66860958.00,68026093.00,69110567.00,70140029.00,70949598.00,71717793.00,72529867.00,73593942.00,74781013.00,75722468.00,77042718.00,78685964.00,80954308.00,85152637.00,91912951.00,100365175.00,112591192.00,123333249.00,133333663.00,143122849.00,153230277.00,165488185.00,178502925.00
Albania,ALB,16832416.00,19111424.00,21573632.00,23654784.00,25669984.00,27842736.00,30392880.00,33071264.00,36141696.00,39384336.00,43125280.00,47474448.00,53113344.00,58400496.00,62742336.00,67333328.00,72279728.00,77995568.00,84484512.00,92065328.00,97231568.00,104566896.00,111869248.00,119494032.00,127313008.00,135186944.00,143236752.00,150674672.00,157995344.00,166972144.00,172482800.00,176766016.00,179279520.00,181613488.00,183537088.00,185621904.00,187637104.00,189179648.00,190931040.00,193913536.00,196932672.00,200153328.00,203901600.00,208192144.00,212354448.00,216604688.00,220499520.00,224423664.00,228794816.00,233169632.00,237764288.00,243000144.00,247906240.00,252966224.00,258678400.00,264626124.00,270898982.00,277278189.00
Algeria,DZA,59440258.00,65496175.00,71157183.00,76576337.00,82219382.00,88807916.00,97228778.00,105660364.00,114710602.00,125973568.00,141032528.00,159682059.00,188004699.00,226282100.00,258158760.00,290159967.00,329291037.00,371135950.00,433591216.00,479136768.00,545553235.00,591895222.00,631068251.00,683572166.00,754518696.00,827127764.00,903208153.00,987091655.00,1070799688.00,1150607954.00,1227344595.00,1306149946.00,1386031717.00,1467974158.00,1554120833.00,1649102794.00,1745888914.00,1832893260.00,1939514090.00,2031182001.00,2118624684.00,2202405358.00,2291812079.00,2382860272.00,2470713375.00,2577186565.00,2677387726.00,2785787700.00,2894819537.00,3015005401.00,3132819477.00,3252626365.00,3380736316.00,3513170946.00,3656347996.00,3806940494.00,3957318519.00,4107869896.00
Americas (other),ASM,13110767380.00,13610105366.00,14141338876.00,14676534040.00,15264001559.00,15876411904.00,16513466966.00,17202440666.00,17938791516.00,18716543170.00,19577194050.00,20474239932.00,21425741192.00,22430167407.00,23476655535.00,24538461404.00,25644500721.00,26780676071.00,27977569203.00,29255379311.00,30575202005.00,31872421745.00,33178160301.00,34436668651.00,35726453419.00,37039541856.00,38354714082.00,39741104420.00,41175124958.00,42676170902.00,44139315940.00,45610299952.00,47114212624.00,48656871827.00,50253627689.00,51873213217.00,53561428365.00,55328368455.00,57177221097.00,59067565309.00,60974588046.00,62905083846.00,64857939638.00,66861915212.00,68873832710.00,70950783125.00,73065649503.00,75233665397.00,77460245651.00,79617865087.00,81871783973.00,84166563311.00,86541969037.00,88948744132.00,91391915488.00,93827469251.00,96242527324.00,98641159642.00
Andorra,AND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406704.00,813408.00,1220112.00,1630480.00,2037184.00,2462208.00,2916544.00,3381872.00,3872848.00,4385808.00,4909760.00,5433712.00,5964992.00,6499936.00,7060528.00,7635776.00,8181712.00,8720320.00,9258928.00,9775552.00,10292176.00,10783152.00,11270464.00,11746784.00,12208448.00,12685687.00,13197193.00,13717377.00
Angola,AGO,4666658.00,5120370.00,6299495.00,7449218.00,8672132.00,9858288.00,11410754.00,12402569.00,14072105.00,16855199.00,20433115.00,23838495.00,28339025.00,33212689.00,38079084.00,42487896.00,45767938.00,49295449.00,54695257.00,60184448.00,65518805.00,70785579.00,75420749.00,80521284.00,85507145.00,90183259.00,94817099.00,100603128.00,105652433.00,110575243.00,115663928.00,120726805.00,125891849.00,131640232.00,135505828.00,146454131.00,156878956.00,164226805.00,171496411.00,180626189.00,190141250.00,199812768.00,212410314.00,221398681.00,240100613.00,259107043.00,281209450.00,306185554.00,331671559.00,359237062.00,388101534.00,418243679.00,451429495.00,483802609.00,518260251.00,553021380.00,588372383.00,623762311.00
Anguilla,AIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51296.00,102592.00,157552.00,223504.00,289456.00,355408.00,425024.00,494640.00,571584.00,652192.00,740128.00,835392.00,930656.00,1033248.00,1154160.00,1282400.00,1425296.00,1575520.00,1725744.00,1872304.00,2022528.00,2165424.00,2308320.00,2443888.00,2586784.00,2735961.00,2888033.00,3040078.00
Antigua and Barbuda,ATG,117248.00,164880.00,267472.00,351744.00,443344.00,593568.00,941648.00,1505904.00,2495184.00,3751936.00,4213600.00,4638624.00,5012352.00,5342112.00,5770800.00,6477952.00,6880992.00,7346320.00,7837296.00,8244000.00,8386896.00,8493152.00,8786272.00,8870544.00,9017104.00,9266256.00,9515408.00,9790208.00,10076000.00,10361792.00,10643920.00,10911392.00,11175200.00,11446336.00,11713808.00,11988608.00,12281728.00,12589504.00,12908272.00,13238032.00,13582448.00,13930528.00,14300592.00,14703632.00,15124992.00,15553680.00,15997024.00,16466016.00,16946000.00,17455296.00,17979248.00,18492208.00,19016160.00,19540112.00,20071392.00,20626024.00,21191421.00,21756717.00
Argentina,ARG,972442003.00,1023568714.00,1077208839.00,1127241499.00,1182911539.00,1241716389.00,1304789055.00,1370265039.00,1439274256.00,1516523126.00,1599171127.00,1688015437.00,1778076521.00,1872044500.00,1967513886.00,2062345439.00,2162011134.00,2262662019.00,2365138842.00,2475649755.00,2584169754.00,2685989443.00,2789196010.00,2894174872.00,3000457863.00,3100824058.00,3204757998.00,3319369062.00,3440498183.00,3557300202.00,3669190220.00,3786035223.00,3907051937.00,4024616609.00,4146626649.00,4274225109.00,4408868759.00,4546426812.00,4685781263.00,4832291571.00,4974008376.00,5107318986.00,5231701199.00,5366321859.00,5523355499.00,5684780278.00,5859397784.00,6033630695.00,6221671879.00,6400539263.00,6587225715.00,6777473616.00,6968518297.00,7156946446.00,7359617936.00,7565985904.00,7773049963.00,7977373398.00
Armenia,ARM,4888704.00,7460146.00,10158886.00,13053100.00,16131081.00,19396132.00,22844097.00,26449402.00,30155963.00,34016113.00,38076203.00,42390624.00,46936120.00,51680231.00,56612185.00,61804025.00,67198801.00,72780399.00,78555913.00,84381002.00,90437836.00,96387225.00,102451965.00,108610306.00,114830045.00,121538355.00,128272452.00,135293399.00,142511521.00,149586475.00,156229024.00,162669665.00,168389596.00,170897861.00,173581357.00,176941449.00,179438793.00,182685236.00,186096308.00,189130008.00,192621418.00,196154118.00,199230726.00,202686288.00,206377482.00,210757312.00,215162562.00,220270324.00,225852438.00,230214768.00,234474944.00,239443820.00,245192072.00,250741500.00,256322937.00,262114667.00,268075480.00,273731872.00
